cash_id,ben_id,project_id,country_id,amount,currency,payment_method,payment_date
1,1897,30,2,175.71,USD,Mobile Money,05/03/2026
2,3461,15,5,65.7,USD,Bank Transfer,09/10/2025
3,1638,27,1,158.84,USD,Voucher,13/02/2026
4,3081,6,5,247.85,USD,Voucher,09/09/2024
5,2042,23,4,320.22,USD,Bank Transfer,30/05/2025
6,2909,2,2,100,USD,Cash,09/01/2026
7,367,12,1,143.21,USD,Bank Transfer,27/12/2025
8,4543,3,1,433.43,USD,Mobile Money,18/02/2025
9,4739,27,3,310.1,USD,Cash,13/11/2025
10,3086,30,3,227.55,USD,Bank Transfer,14/07/2026
11,3682,29,1,51.43,USD,Voucher,20/07/2024
12,4936,14,5,377.93,USD,Cash,13/04/2025
13,3880,30,1,79.84,USD,Cash,14/11/2025
14,3747,18,1,379.56,USD,Cash,03/01/2026
15,324,5,4,169.04,USD,Voucher,15/07/2025
17,3253,12,2,356.59,USD,Cash,18/07/2026
18,4508,19,5,482.56,USD,Bank Transfer,13/03/2026
19,1796,21,2,63.81,USD,Cash,05/10/2025
20,4735,27,1,372.22,USD,Voucher,10/09/2025
21,1355,12,1,430.43,USD,Bank Transfer,15/08/2024
22,41,10,3,134.1,USD,Mobile Money,21/02/2025
23,305,29,5,297.69,USD,Bank Transfer,08/11/2025
24,2826,26,5,217.86,USD,Mobile Money,22/01/2025
25,1864,13,2,373.13,USD,Cash,08/10/2024
26,2552,25,5,218.96,USD,Mobile Money,30/11/2024
27,557,9,4,59.26,USD,Mobile Money,24/09/2025
28,1920,9,4,179,USD,Bank Transfer,30/03/2025
29,4882,9,5,304.52,USD,Voucher,01/08/2025
30,4017,18,5,69.81,USD,Bank Transfer,22/08/2025
31,1602,2,2,56.65,USD,Voucher,28/09/2024
32,1091,8,3,447.15,USD,Voucher,27/08/2024
33,3821,25,2,281.58,USD,Bank Transfer,20/08/2024
34,312,12,2,384.88,USD,Cash,05/12/2025
35,2591,15,1,493.09,USD,Bank Transfer,07/06/2026
36,4770,2,1,249.69,USD,Cash,21/07/2024
37,4568,24,2,374.81,USD,Voucher,10/11/2024
38,3771,23,3,95.79,USD,Voucher,06/07/2026
39,4197,6,2,315.8,USD,Cash,26/11/2024
40,2288,27,2,324.39,USD,Bank Transfer,21/02/2026
41,4534,9,2,152.24,USD,Mobile Money,15/05/2026
42,1506,6,4,287.4,USD,Bank Transfer,16/05/2025
43,516,13,1,45.91,USD,Voucher,15/10/2025
44,2333,25,3,62.35,USD,Bank Transfer,18/07/2025
45,3144,17,2,326.5,USD,Voucher,22/06/2025
46,3063,8,5,134.33,USD,Voucher,12/03/2026
47,2527,7,4,20.5,USD,Mobile Money,18/09/2024
48,3093,7,5,418.08,USD,Bank Transfer,07/08/2024
49,4108,26,4,370.15,USD,Voucher,01/08/2025
50,920,12,5,150.72,USD,Mobile Money,15/01/2026
51,3195,1,4,387.63,USD,Cash,29/04/2025
52,3805,20,1,289.45,USD,Bank Transfer,08/11/2025
53,726,15,5,229.36,USD,Mobile Money,28/01/2025
54,3367,19,5,103.1,USD,Cash,04/02/2026
55,2454,20,2,39.64,USD,Cash,25/01/2025
56,343,2,4,181.4,USD,Cash,16/02/2026
57,1213,28,5,272.87,USD,Voucher,31/05/2026
58,2708,19,2,400.32,USD,Voucher,16/01/2026
59,203,8,2,303.47,USD,Mobile Money,25/09/2024
60,1728,10,3,357.64,USD,Cash,07/04/2026
61,4737,27,4,121.73,USD,Mobile Money,16/08/2025
62,3458,11,3,317.99,USD,Voucher,07/07/2026
63,4563,10,1,60.03,USD,Cash,26/06/2026
64,4313,10,2,333.12,USD,Mobile Money,11/11/2025
65,4349,23,1,164.62,USD,Bank Transfer,03/01/2026
66,473,29,5,321.18,USD,Mobile Money,02/02/2026
67,151,8,2,166.28,USD,Cash,23/04/2025
68,3927,16,5,157.29,USD,Cash,24/09/2025
69,645,6,4,448.35,USD,Voucher,02/06/2025
70,1942,8,5,121.32,USD,Voucher,15/08/2024
71,1081,11,2,154.78,USD,Bank Transfer,12/01/2025
72,1889,18,2,249.31,USD,Mobile Money,20/08/2024
73,1005,22,4,96.77,USD,Voucher,10/05/2025
74,2822,9,3,220.59,USD,Bank Transfer,28/05/2026
75,4979,22,5,20.65,USD,Cash,15/03/2025
76,2597,25,1,418.21,USD,Voucher,07/06/2025
77,2034,24,3,404.47,USD,Bank Transfer,26/05/2026
78,3784,28,3,237.77,USD,Voucher,20/05/2026
79,1415,7,2,485.88,USD,Mobile Money,19/08/2025
80,284,12,4,382.94,USD,Mobile Money,22/02/2025
81,2195,2,2,259.09,USD,Bank Transfer,03/03/2025
82,3077,16,2,103.58,USD,Voucher,03/12/2024
83,4256,12,5,373.53,USD,Voucher,30/07/2025
84,3626,6,3,111.92,USD,Voucher,12/06/2025
85,3893,24,2,168.11,USD,Cash,29/04/2025
86,3068,24,2,297.45,USD,Mobile Money,22/07/2024
87,4997,17,4,436.65,USD,Mobile Money,02/11/2025
88,2918,2,2,258.69,USD,Voucher,08/05/2025
89,3038,23,5,42.55,USD,Voucher,24/01/2025
90,3373,9,2,144.81,USD,Bank Transfer,13/03/2025
91,1403,24,5,126.55,USD,Voucher,11/07/2025
92,1807,18,2,158.7,USD,Voucher,17/12/2024
93,292,1,1,222.95,USD,Voucher,29/03/2025
94,2356,11,3,385.77,USD,Voucher,31/10/2024
95,3902,26,3,90.65,USD,Mobile Money,13/02/2026
96,701,28,4,392.47,USD,Cash,07/07/2026
97,37,17,2,356.68,USD,Mobile Money,20/05/2025
98,4785,21,4,55.14,USD,Cash,27/08/2025
99,2432,13,2,126.26,USD,Bank Transfer,19/03/2025
100,3024,20,2,229.64,USD,Bank Transfer,25/11/2025
101,4823,23,1,232.18,USD,Bank Transfer,18/08/2025
102,1424,11,5,457.58,USD,Bank Transfer,05/07/2025
103,1515,9,4,321.47,USD,Mobile Money,11/11/2025
104,4551,8,3,462.72,USD,Mobile Money,25/09/2024
105,3084,26,3,133.8,USD,Voucher,01/10/2025
106,3226,14,5,105.59,USD,Cash,23/03/2025
107,4231,30,1,458.08,USD,Bank Transfer,25/12/2024
108,2800,26,1,54.1,USD,Bank Transfer,07/01/2026
109,83,27,5,484.74,USD,Mobile Money,14/10/2025
110,3832,10,1,256.31,USD,Voucher,22/07/2024
111,4130,24,2,197.05,USD,Voucher,11/07/2025
112,2496,19,3,492.3,USD,Bank Transfer,06/08/2025
113,4850,7,3,279.9,USD,Cash,01/06/2025
114,2413,17,4,245.41,USD,Mobile Money,13/08/2025
115,1007,29,2,82.55,USD,Mobile Money,23/03/2025
116,3161,26,2,255.39,USD,Bank Transfer,04/04/2025
117,1611,3,5,270.46,USD,Mobile Money,30/01/2025
118,200,29,5,174.08,USD,Bank Transfer,20/07/2024
119,3005,26,1,224.14,USD,Mobile Money,14/04/2026
120,1813,30,4,462.82,USD,Mobile Money,08/11/2025
121,3768,3,5,177.92,USD,Mobile Money,05/07/2025
122,3939,17,2,203.34,USD,Cash,24/12/2024
