funding_id,project_id,donor_id,approved_budget,amount_spent,remaining_budget,currency,fiscal_year
1,11,3,173810.25,108911.73,64898.520000000004,USD,2025
2,27,1,100439.65,42657.45,57782.2,EUR,2024
3,2,4,360332.43,64151.59,296180.83999999997,USD,2024
4,13,6,232611.46,37335.53,195275.93,EUR,2024
5,4,8,,225285.99,197244.07,USD,2025
6,11,3,324242.85,57293.75,266949.1,EUR,2024
7,18,4,71967.3,47499.71,24467.590000000004,USD,2024
8,30,1,305526.78,65585.63,239941.15000000002,EUR,2023
9,4,5,170771.53,99136.2,71635.33,USD,2024
10,19,6,211580.13,-500.0,210790.06,USD,2024
11,20,5,191032.58,80910.82,110121.75999999998,EUR,2025
12,24,5,467969.59,52953.35,415016.24000000005,USD,2024
13,29,8,391062.57,193695.19,197367.38,usd ,2023
14,27,6,322680.48,266141.52,56538.95999999996,USD,2025
15,22,4,78462.38,60699.92,17762.460000000006,USD,2023
16,10,6,389010.61,25953.88,363056.73,USD,2025
17,26,6,388869.42,110470.96,278398.45999999996,EUR,2025
18,14,1,481212.39,369878.1,111334.29000000004,EUR,2023
19,23,6,83778.86,32858.29,50920.57,USD,2025
20,9,2,137828.58,122961.64,14866.939999999988,USD,2023
21,30,6,316182.66,94546.72,221635.93999999997,USD,2023
22,16,2,72937.09,15833.03,57104.06,EUR,2025
23,27,7,371753.57,210002.86,161750.71000000002,EUR,2023
24,30,7,112713.41,61748.52,50964.89000000001,USD,2024
25,20,6,343051.73,340970.91,2080.820000000007,USD,2023
26,22,6,188717.8,92443.22,96274.57999999999,USD,2025
27,17,1,73515.85,48664.6,24851.250000000007,EUR,2024
28,8,7,155512.63,64548.34,90964.29000000001,USD,2025
29,29,6,57810.87,37549.12,20261.75,USD,2023
30,1,7,449269.49,337164.84,112104.64999999997,USD,2025
31,14,5,137144.76,89762.96,47381.8,USD,2024
32,7,1,35477.6,11098.73,24378.87,EUR,2023
33,24,2,499835.31,143338.43,356496.88,USD,2024
34,21,5,454973.69,343977.13,110996.56,USD,2024
35,17,4,331826.28,60543.2,271283.08,EUR,2024
36,19,3,206491.42,117406.76,89084.66000000002,EUR,2025
37,30,3,450814.39,142816.31,307998.08,EUR,2025
