cash_assistance_id,beneficiary_id,project_id,country,amount,currency,payment_method,payment_date
1,1897,30,Uganda,175.71,USD,Mobile Money,2026-03-05
2,3461,15,Somalia,65.7,USD,Bank Transfer,2025-10-09
3,1638,27,Kenya,158.84,USD,Voucher,2026-02-13
4,3081,6,Somalia,247.85,USD,Voucher,2024-09-09
5,2042,23,Ethiopia,320.22,USD,Bank Transfer,2025-05-30
6,2909,2,Uganda,-100.0,USD,Cash,2026-01-09
7,367,12,Kenya,143.21,USD,Bank Transfer,2025-12-27
8,4543,3,Kenya,433.43,USD,Mobile Money,2025-02-18
9,4739,27,South Sudan,310.1,USD,Cash,2025-11-13
10,3086,30,South Sudan,227.55,USD,Bank Transfer,2026-07-14
11,3682,29, kenya ,51.43,USD,Voucher,2024-07-20
12,4936,14,Somalia,377.93,USD,Cash,2025-04-13
13,3880,30,Kenya,79.84,USD,Cash,2025-11-14
14,3747,18,Kenya,379.56,USD,Cash,2026-01-03
15,324,5,Ethiopia,169.04,USD,Voucher,2025-07-15
16,4303,4,Kenya,209.0,USD,,2026-07-07
17,3253,12,Uganda,356.59,USD,Cash,2026-07-18
18,4508,19,Somalia,482.56,USD,Bank Transfer,2026-03-13
19,1796,21,Uganda,63.81,USD,Cash,2025-10-05
20,4735,27,Kenya,372.22,USD,Voucher,2025-09-10
21,1355,12,Kenya,430.43,USD,Bank Transfer,15/08/2024
22,41,10,South Sudan,134.1,USD,Mobile Money,2025-02-21
23,305,29,Somalia,297.69,USD,Bank Transfer,2025-11-08
24,2826,26,Somalia,217.86,USD,Mobile Money,2025-01-22
25,1864,13,Uganda,373.13,USD,Cash,2024-10-08
26,2552,25,Somalia,218.96,USD,Mobile Money,2024-11-30
27,557,9,Ethiopia,59.26,USD,Mobile Money,2025-09-24
28,1920,9,Ethiopia,179.0,USD,Bank Transfer,2025-03-30
29,4882,9,Somalia,304.52,USD,Voucher,2025-08-01
30,4017,18,Somalia,69.81,USD,Bank Transfer,2025-08-22
31,1602,2,Uganda,56.65,USD,Voucher,2024-09-28
32,1091,8,South Sudan,447.15,USD,Voucher,2024-08-27
33,3821,25,Uganda,281.58,USD,Bank Transfer,2024-08-20
34,312,12,Uganda,384.88,USD,Cash,2025-12-05
35,2591,15,Kenya,493.09,USD,Bank Transfer,2026-06-07
36,4770,2,Kenya,249.69,USD,Cash,2024-07-21
37,4568,24,Uganda,374.81,USD,Voucher,2024-11-10
38,3771,23,South Sudan,95.79,USD,Voucher,2026-07-06
39,4197,6,Uganda,315.8,USD,Cash,2024-11-26
40,2288,27,Uganda,324.39,USD,Bank Transfer,2026-02-21
41,4534,9,Uganda,152.24,USD,Mobile Money,2026-05-15
42,1506,6,Ethiopia,287.4,USD,Bank Transfer,2025-05-16
43,516,13,Kenya,45.91,USD,Voucher,2025-10-15
44,2333,25,South Sudan,62.35,USD,Bank Transfer,2025-07-18
45,3144,17,Uganda,326.5,USD,Voucher,2025-06-22
46,3063,8,Somalia,134.33,USD,Voucher,2026-03-12
47,2527,7,Ethiopia,20.5,USD,Mobile Money,2024-09-18
48,3093,7,Somalia,418.08,USD,Bank Transfer,2024-08-07
49,4108,26,Ethiopia,370.15,USD,Voucher,2025-08-01
50,920,12,Somalia,150.72,USD,Mobile Money,2026-01-15
51,3195,1,Ethiopia,387.63,USD,Cash,2025-04-29
52,3805,20,Kenya,289.45,USD,Bank Transfer,2025-11-08
53,726,15,Somalia,229.36,USD,Mobile Money,2025-01-28
54,3367,19,Somalia,103.1,USD,Cash,2026-02-04
55,2454,20,Uganda,39.64,USD,Cash,2025-01-25
56,343,2,Ethiopia,181.4,USD,Cash,2026-02-16
57,1213,28,Somalia,272.87,USD,Voucher,2026-05-31
58,2708,19,Uganda,400.32,USD,Voucher,2026-01-16
59,203,8,Uganda,303.47,USD,Mobile Money,2024-09-25
60,1728,10,South Sudan,357.64,USD,Cash,2026-04-07
61,4737,27,Ethiopia,121.73,USD,Mobile Money,2025-08-16
62,3458,11,South Sudan,317.99,USD,Voucher,2026-07-07
63,4563,10,Kenya,60.03,USD,Cash,2026-06-26
64,4313,10,Uganda,333.12,USD,Mobile Money,2025-11-11
65,4349,23,Kenya,164.62,USD,Bank Transfer,2026-01-03
66,473,29,Somalia,321.18,USD,Mobile Money,2026-02-02
67,151,8,Uganda,166.28,USD,Cash,2025-04-23
68,3927,16,Somalia,157.29,USD,Cash,2025-09-24
69,645,6,Ethiopia,448.35,USD,Voucher,2025-06-02
70,1942,8,Somalia,121.32,USD,Voucher,2024-08-15
71,1081,11,Uganda,154.78,USD,Bank Transfer,2025-01-12
72,1889,18,Uganda,249.31,USD,Mobile Money,2024-08-20
73,1005,22,Ethiopia,96.77,USD,Voucher,2025-05-10
74,2822,9,South Sudan,220.59,USD,Bank Transfer,2026-05-28
75,4979,22,Somalia,20.65,USD,Cash,2025-03-15
76,2597,25,Kenya,418.21,USD,Voucher,2025-06-07
77,2034,24,South Sudan,404.47,USD,Bank Transfer,2026-05-26
78,3784,28,South Sudan,237.77,USD,Voucher,2026-05-20
79,1415,7,Uganda,485.88,USD,Mobile Money,2025-08-19
80,284,12,Ethiopia,382.94,USD,Mobile Money,2025-02-22
81,2195,2,Uganda,259.09,USD,Bank Transfer,2025-03-03
82,3077,16,Uganda,103.58,USD,Voucher,2024-12-03
83,4256,12,Somalia,373.53,USD,Voucher,2025-07-30
84,3626,6,South Sudan,111.92,USD,Voucher,2025-06-12
85,3893,24,Uganda,168.11,USD,Cash,2025-04-29
86,3068,24,Uganda,297.45,USD,Mobile Money,2024-07-22
87,4997,17,Ethiopia,436.65,USD,Mobile Money,2025-11-02
88,2918,2,Uganda,258.69,USD,Voucher,2025-05-08
89,3038,23,Somalia,42.55,USD,Voucher,2025-01-24
90,3373,9,Uganda,144.81,USD,Bank Transfer,2025-03-13
91,1403,24,Somalia,126.55,USD,Voucher,2025-07-11
92,1807,18,Uganda,158.7,USD,Voucher,2024-12-17
93,292,1,Kenya,222.95,USD,Voucher,2025-03-29
94,2356,11,South Sudan,385.77,USD,Voucher,2024-10-31
95,3902,26,South Sudan,90.65,USD,Mobile Money,2026-02-13
96,701,28,Ethiopia,392.47,USD,Cash,2026-07-07
97,37,17,Uganda,356.68,USD,Mobile Money,2025-05-20
98,4785,21,Ethiopia,55.14,USD,Cash,2025-08-27
99,2432,13,Uganda,126.26,USD,Bank Transfer,2025-03-19
100,3024,20,Uganda,229.64,USD,Bank Transfer,2025-11-25
101,4823,23,Kenya,232.18,USD,Bank Transfer,2025-08-18
102,1424,11,Somalia,457.58,USD,Bank Transfer,2025-07-05
103,1515,9,Ethiopia,321.47,USD,Mobile Money,2025-11-11
104,4551,8,South Sudan,462.72,USD,Mobile Money,2024-09-25
105,3084,26,South Sudan,133.8,USD,Voucher,2025-10-01
106,3226,14,Somalia,105.59,USD,Cash,2025-03-23
107,4231,30,Kenya,458.08,USD,Bank Transfer,2024-12-25
108,2800,26,Kenya,54.1,USD,Bank Transfer,2026-01-07
109,83,27,Somalia,484.74,USD,Mobile Money,2025-10-14
110,3832,10,Kenya,256.31,USD,Voucher,2024-07-22
111,4130,24,Uganda,197.05,USD,Voucher,2025-07-11
112,2496,19,South Sudan,492.3,USD,Bank Transfer,2025-08-06
113,4850,7,South Sudan,279.9,USD,Cash,2025-06-01
114,2413,17,Ethiopia,245.41,USD,Mobile Money,2025-08-13
115,1007,29,Uganda,82.55,USD,Mobile Money,2025-03-23
116,3161,26,Uganda,255.39,USD,Bank Transfer,2025-04-04
117,1611,3,Somalia,270.46,USD,Mobile Money,2025-01-30
118,200,29,Somalia,174.08,USD,Bank Transfer,2024-07-20
119,3005,26,Kenya,224.14,USD,Mobile Money,2026-04-14
120,1813,30,Ethiopia,462.82,USD,Mobile Money,2025-11-08
121,3768,3,Somalia,177.92,USD,Mobile Money,2025-07-05
122,3939,17,Uganda,203.34,USD,Cash,2024-12-24
123,784,27,Uganda,434.6,USD,Bank Transfer,2025-02-19
124,73,26,South Sudan,251.86,USD,Mobile Money,2026-01-30
125,4753,28,Somalia,99.96,USD,Mobile Money,2025-07-20
126,398,22,Uganda,272.61,USD,Bank Transfer,2024-08-16
127,1560,8,South Sudan,73.53,USD,Voucher,2024-10-26
128,4562,7,Uganda,320.63,USD,Mobile Money,2025-05-13
129,4734,16,South Sudan,405.52,USD,Mobile Money,2025-06-22
130,919,16,Somalia,410.16,USD,Voucher,2026-01-11
131,337,25,South Sudan,413.2,USD,Voucher,2024-10-18
132,744,6,Ethiopia,245.07,USD,Cash,2024-11-13
133,522,8,South Sudan,283.1,USD,Mobile Money,2026-04-01
134,4684,15,Kenya,252.12,USD,Mobile Money,2024-10-17
135,681,12,Uganda,44.8,USD,Bank Transfer,2024-08-28
136,249,10,South Sudan,128.06,USD,Bank Transfer,2024-12-03
137,3452,4,Somalia,431.31,USD,Cash,2025-12-02
138,807,9,Ethiopia,302.61,USD,Mobile Money,2024-12-21
