education_id,beneficiary_id,school_code,education_level,country,enrollment_date,status
1,4604,SCH-063,Primary,South Sudan,2025-03-19,Enrolled
2,1542,SCH-071,Secondary,Uganda,2024-07-30,Enrolled
3,3310,SCH-028,Vocational,Somalia,2024-09-24,Dropped
4,2551,SCH-029,Vocational,Ethiopia,2025-09-17,Dropped
5,4478,SCH-009,,Kenya,2024-09-30,Dropped
6,4039,SCH-019,Adult Learning,South Sudan,2025-08-17,Dropped
7,4263,SCH-056,Adult Learning,Ethiopia,2025-02-03,Dropped
8,813,SCH-027,Vocational,Ethiopia,2024-10-14,Completed
9,3395,SCH-038,Vocational,Somalia,2026-04-03,Dropped
10,3313,SCH-059,Secondary,UGANDA ,2025-02-27,Dropped
11,3181,SCH-062,Adult Learning,Kenya,2024-07-26,Completed
12,2860,SCH-076,Primary,Uganda,2024-10-07,Completed
13,4390,SCH-029,Primary,South Sudan,2025-11-15,Enrolled
14,869,SCH-058,Primary,South Sudan,2026-06-07,Enrolled
15,558,SCH-034,Secondary,Somalia,2026-04-17,Dropped
16,3894,SCH-022,Secondary,South Sudan,2025-11-08,
17,4439,SCH-018,Secondary,Ethiopia,2024-08-06,Enrolled
18,2214,SCH-064,Secondary,Uganda,2025-01-13,Enrolled
19,3488,SCH-018,Primary,Uganda,2026-05-15,Dropped
20,4653,SCH-069,Adult Learning,Somalia,2024-09-22,Enrolled
21,2841,SCH-026,Primary,Kenya,2024-07-28,Enrolled
22,3326,SCH-064,Vocational,Uganda,2024-09-13,Completed
23,4111,SCH-014,Vocational,Uganda,2024-12-15,Enrolled
24,1968,SCH-061,Secondary,South Sudan,2025-10-01,Completed
25,3030,SCH-053,Secondary,Uganda,2025-11-13,Completed
26,4032,SCH-013,Secondary,Ethiopia,2026-02-06,Enrolled
27,2986,SCH-028,Primary,Ethiopia,2026-04-07,Completed
28,4812,SCH-034,Primary,Ethiopia,2024-07-21,Completed
29,4476,SCH-005,Vocational,Uganda,2025-09-03,Completed
30,4647,SCH-020,Adult Learning,South Sudan,2025-08-18,Completed
31,4751,SCH-074,Vocational,Somalia,2026-01-24,Dropped
32,55,SCH-064,Secondary,South Sudan,2024-12-08,Enrolled
33,4635,SCH-009,Vocational,Kenya,2025-01-03,Enrolled
34,4433,SCH-034,Secondary,Kenya,2025-09-30,Dropped
35,4899,SCH-074,Secondary,Kenya,2026-04-28,Dropped
36,4808,SCH-020,Secondary,Uganda,2024-09-17,Completed
37,640,SCH-068,Secondary,South Sudan,2025-12-27,Dropped
38,2222,SCH-058,Adult Learning,Ethiopia,2025-06-07,Enrolled
39,548,SCH-061,Secondary,Somalia,2025-05-28,Completed
40,3296,SCH-050,Secondary,South Sudan,2025-03-25,Completed
41,3955,SCH-023,Adult Learning,Ethiopia,2025-03-29,Enrolled
42,3797,SCH-037,Primary,Kenya,2025-11-10,Enrolled
43,4822,SCH-001,Secondary,Uganda,2024-08-04,Enrolled
44,3219,SCH-022,Adult Learning,Kenya,2025-01-13,Enrolled
45,4487,SCH-049,Secondary,Uganda,2025-06-10,Completed
46,4184,SCH-038,Vocational,Ethiopia,2025-04-05,Completed
47,2375,SCH-045,Primary,Ethiopia,2026-02-09,Completed
48,2268,SCH-005,Primary,Uganda,2024-08-30,Enrolled
49,1645,SCH-020,Secondary,Ethiopia,2025-11-17,Enrolled
50,3165,SCH-011,Secondary,Uganda,2025-02-11,Completed
51,4897,SCH-008,Primary,South Sudan,2024-08-06,Dropped
52,2095,SCH-041,Vocational,South Sudan,2026-06-10,Enrolled
53,329,SCH-027,Primary,Ethiopia,2026-02-23,Enrolled
54,3954,SCH-008,Vocational,Uganda,2024-11-29,Enrolled
55,578,SCH-011,Adult Learning,Ethiopia,2024-12-17,Completed
56,1146,SCH-077,Secondary,Somalia,2025-12-11,Completed
57,1204,SCH-013,Primary,South Sudan,2024-12-17,Completed
58,4318,SCH-068,Primary,Uganda,2025-03-20,Enrolled
59,4140,SCH-051,Vocational,Uganda,2025-01-13,Dropped
60,4261,SCH-014,Primary,Somalia,2025-10-06,Enrolled
61,1253,SCH-060,Adult Learning,South Sudan,2025-01-11,Enrolled
62,4689,SCH-033,Vocational,Somalia,2024-08-14,Enrolled
63,1783,SCH-005,Secondary,South Sudan,2024-09-27,Dropped
64,2372,SCH-023,Vocational,Somalia,2025-03-08,Completed
65,1823,SCH-069,Adult Learning,South Sudan,2024-09-29,Enrolled
66,1646,SCH-052,Primary,Somalia,2025-06-10,Dropped
67,4072,SCH-069,Secondary,Somalia,2025-03-11,Completed
68,1687,SCH-056,Primary,Somalia,2025-09-03,Dropped
69,2315,SCH-032,Secondary,Ethiopia,2026-04-01,Enrolled
70,1151,SCH-037,Adult Learning,South Sudan,2025-07-03,Dropped
71,4775,SCH-078,Secondary,Somalia,2025-06-05,Completed
72,2926,SCH-040,Secondary,Uganda,2024-08-19,Completed
73,3068,SCH-013,Vocational,Somalia,2025-01-02,Completed
74,1267,SCH-063,Secondary,Kenya,2025-04-20,Enrolled
75,3139,SCH-058,Secondary,South Sudan,2025-11-20,Dropped
76,2693,SCH-073,Adult Learning,Ethiopia,2026-04-14,Enrolled
77,4760,SCH-032,Secondary,Kenya,2025-12-10,Dropped
78,2808,SCH-053,Primary,South Sudan,2026-05-15,Completed
79,1980,SCH-071,Secondary,Uganda,2025-02-16,Dropped
80,334,SCH-037,Primary,Ethiopia,2025-04-19,Dropped
81,265,SCH-013,Vocational,Uganda,2025-03-10,Completed
82,3559,SCH-015,Secondary,Somalia,2025-09-18,Enrolled
83,4128,SCH-073,Secondary,Kenya,2026-05-31,Completed
84,1067,SCH-048,Primary,Uganda,2025-01-12,Enrolled
85,4614,SCH-037,Primary,Ethiopia,2025-05-06,Dropped
86,512,SCH-071,Secondary,Uganda,2026-07-02,Dropped
87,4363,SCH-041,Adult Learning,South Sudan,2025-08-03,Completed
88,518,SCH-019,Vocational,Kenya,2024-10-30,Dropped
89,2975,SCH-052,Secondary,Uganda,2024-11-29,Enrolled
90,1850,SCH-010,Adult Learning,Kenya,2026-06-26,Completed
91,4752,SCH-061,Primary,Ethiopia,2026-03-27,Completed
92,3522,SCH-006,Secondary,Uganda,2025-07-27,Dropped
93,1853,SCH-024,Primary,Ethiopia,2026-01-14,Completed
94,1753,SCH-026,Primary,South Sudan,2025-09-21,Enrolled
95,4597,SCH-065,Vocational,South Sudan,2025-05-01,Completed
96,3875,SCH-033,Primary,Uganda,2024-12-05,Dropped
97,281,SCH-070,Adult Learning,Kenya,2025-11-28,Dropped
98,3539,SCH-079,Vocational,Uganda,2026-07-15,Enrolled
99,2941,SCH-005,Adult Learning,Ethiopia,2024-11-12,Dropped
100,227,SCH-002,Adult Learning,Uganda,2024-09-11,Completed
101,1349,SCH-066,Secondary,Uganda,2025-06-19,Dropped
102,3220,SCH-074,Vocational,Somalia,2025-12-01,Dropped
103,2410,SCH-075,Primary,Somalia,2025-07-01,Enrolled
