distribution_id,project_id,beneficiary_id,food_item,quantity,unit,country,distribution_date,warehouse_code
1,15,2455,Rice,68,kg,Uganda,2026-01-31,WH-004
2,22,4396,Beans,68,kg,Ethiopia,2026-03-02,WH-002
3,20,3119,Salt,73,kg,Somalia,2025-02-04,WH-002
4,10,4061,Beans,92,kg,Ethiopia,2024-10-13,WH-004
5,25,826,Sugar,-20,kg,South Sudan,2025-01-29,WH-003
6,21,112,Maize Flour,54,kg,Ethiopia,2025-05-09,WH-004
7,19,3581,Sugar,12,kg,Uganda,2025-12-20,WH-004
8,29,790,Sugar,82,kg,Somalia,2025-09-22,WH-001
9,28,3641,Maize Flour,33,kg, kenya ,2025-02-22,WH-001
10,20,3604,Maize Flour,7,kg,Uganda,2025-12-03,WH-001
11,19,1157,Beans,24,kg,Uganda,2025-09-29,WH-003
12,16,4429,Maize Flour,5,kg,Uganda,2026-03-21,WH-002
13,14,1666,Sugar,39,kg,Uganda,12/05/2024,WH-001
14,26,2180,Rice,54,kg,Uganda,2026-06-25,WH-001
15,3,2017,Sugar,100,kg,South Sudan,2024-09-19,WH-003
16,29,3392,Sugar,82,kg,Kenya,2025-04-28,WH-004
17,1,866,Beans,97,kg,South Sudan,2025-12-13,WH-004
18,2,3145,Maize Flour,55,kg,Uganda,2025-08-18,WH-004
19,29,3873,,33,kg,Kenya,2025-01-16,WH-001
20,6,2921,Maize Flour,72,kg,South Sudan,2025-11-03,WH-001
21,16,4687,Rice,7,kg,Kenya,2026-03-13,WH-001
22,25,4281,Cooking Oil,89,kg,Ethiopia,2024-07-21,WH-001
23,23,3286,Sugar,33,kg,Ethiopia,2026-06-04,WH-002
24,23,2392,Maize Flour,39,kg,Ethiopia,2026-02-16,WH-002
25,24,817,Sugar,31,kg,Somalia,2025-05-08,WH-001
26,19,4813,Cooking Oil,25,kg,Uganda,2026-04-07,WH-002
27,7,114,Maize Flour,82,kg,Somalia,2025-08-15,WH-004
28,20,2250,Sugar,15,kg,South Sudan,2025-01-02,WH-003
